직업코드,직업명,직업분류,NCS능력단위명,NCS능력단위정의,NCS대분류,NCS중분류,NCS소분류,능력단위코드
K000001074,통신장비기사,통신·방송송출 장비 기사,지상파TV방송,"UHDTV 방송기술이란 UHDTV 방송에 필요한 제반 사항과 관련 기술을 파악하고, 프로그램의 제작, 송출, 송신 및 응용·부가 서비스에 대한 워크플로우를 설계하고 이를 운용할 수 있는 능력이다.",정보통신,방송기술,방송플랫폼기술,2003020211
K000001074,통신장비기사,통신·방송송출 장비 기사,전송시스템구축,정보통신 법규 적용이란 통신시스템을 효율적으로 설계·구축·운용하기 위한 관련 법령을 숙지하여 현장에서 기준에 맞게 적용하는 능력이다.,정보통신,통신기술,무선통신구축,2002020211
K000001074,통신장비기사,통신·방송송출 장비 기사,방송시스템운영,방송시스템 요구분석이란  방송시스템 설계 시 운용자의 운용편리성과 효율성을 고려하고 현재기술만 아니라 향후 방송 환경변화를 반영하여 시스템 설계 관련 자료를 수집하는 능력이다.,정보통신,방송기술,방송서비스,2003030211
K000000915,건축감리기술자,건축·토목공학 기술자 및 시험원,풍력에너지생산,"풍력발전시스템 설치란 단지 건설계획을 수립하고 토목, 기계, 전기 공사를 수행 및 감리하고 기기를 운반, 설치하는 능력이다.",환경·에너지·안전,에너지·자원,재생에너지,2305050624
K000000915,건축감리기술자,건축·토목공학 기술자 및 시험원,상하수도시공,"상하수도 시공검사는 시공된 상하수도 관로 및 시설의 이상 유무를 확인하고, 그에 따른 결과보고서를 작성할 수 있으며, 이상부분에 대해 적절한보수, 보강 대책을 수립할 수 있는 능력이다.",건설,토목,토목시공,1402020716
K000000915,건축감리기술자,건축·토목공학 기술자 및 시험원,철도선로시설물유지보수,"교량 및 터널보수란 점검보고서 및 현장조사 결과를 분석하여 보수 계획을 수립하고, 보수ㆍ보강 방법(공법)에 따라 설계용역 또는 직접 설계 여부를 판단하여, 선로구조물 (교량)의 손상 또는 변형을 보수하는 능력이다.",운전·운송,철도운전·운송,철도시설유지보수,0902020113
K000000922,건축설비기술자,건축·토목공학 기술자 및 시험원,상하수도시공,"상하수도 준공검사는 시공이 완료된 상하수도시물의 품질, 규격, 수량 등의 적정성과 목적된  기능 및 효율의 달성 여부를 확인하는 능력이다.",건설,토목,토목시공,1402020717
K000000922,건축설비기술자,건축·토목공학 기술자 및 시험원,건축구조설계,"프로젝트 파악이란 발주자 요구사항과 건축물의 용도를 파악하고, 사업성과 계약서 검토를 수행하는 능력이다.",건설,건축,건축설계·감리,1403010201
K000000922,건축설비기술자,건축·토목공학 기술자 및 시험원,철도선로시설물유지보수,기타구조물 보수란 선로구조물(토공 및 기타구조물 등)의 손상 또는 변형을 보수하는 능력이다.,운전·운송,철도운전·운송,철도시설유지보수,0902020114
K000000956,건축구조기술자,건축·토목공학 기술자 및 시험원,상하수도시공,"상하수도 준공검사는 시공이 완료된 상하수도시물의 품질, 규격, 수량 등의 적정성과 목적된  기능 및 효율의 달성 여부를 확인하는 능력이다.",건설,토목,토목시공,1402020717
K000000956,건축구조기술자,건축·토목공학 기술자 및 시험원,건축구조설계,"프로젝트 파악이란 발주자 요구사항과 건축물의 용도를 파악하고, 사업성과 계약서 검토를 수행하는 능력이다.",건설,건축,건축설계·감리,1403010201
K000000956,건축구조기술자,건축·토목공학 기술자 및 시험원,철도선로시설물유지보수,"교량 및 터널보수란 점검보고서 및 현장조사 결과를 분석하여 보수 계획을 수립하고, 보수ㆍ보강 방법(공법)에 따라 설계용역 또는 직접 설계 여부를 판단하여, 선로구조물 (교량)의 손상 또는 변형을 보수하는 능력이다.",운전·운송,철도운전·운송,철도시설유지보수,0902020113
K000000985,조경 기술자,건축·토목공학 기술자 및 시험원,교통운영·감리,교통시스템진단이란 사업목표 달성을 위해 교통시스템에 대한 현황조사및 분석결과를 기초로 문제점을 진단하고 개선되어야할 부분을 찾아내는능력이다.,건설,도시·교통,교통계획·설계,1406020312
K000000985,조경 기술자,건축·토목공학 기술자 및 시험원,생태복원,"생태시설물 설치란 생태시설물 설계도서를 바탕으로 대상지에 보전시설,관찰시설, 체험시설, 전시·연구시설, 편의시설, 관리시설을 설치하는 능력이다.",환경·에너지·안전,자연환경,생태복원·관리,2303010116
K000000985,조경 기술자,건축·토목공학 기술자 및 시험원,생태복원,"생태시설물 설계란 생태시설물 계획안을 바탕으로 보전시설, 관찰시설, 체험시설, 전시·연구시설, 편의시설, 관리시설 등 복원사업 대상지에서 실제사업이 가능하도록 도서화하는 능력이다.",환경·에너지·안전,자연환경,생태복원·관리,2303010115
K000000992,토목구조설계기술자,건축·토목공학 기술자 및 시험원,상하수도설계,"상하수도 사업계획 수립이란 상·하수도 시설을 계획할 때 요구되는 기술수준, 시설의 규모, 기준에 의거한 적정위치와 형식을 결정하는 능력이다.",건설,토목,토목설계·감리,1402010601
K000000992,토목구조설계기술자,건축·토목공학 기술자 및 시험원,하천(댐)설계,"하천(댐)설계 수문분석이란 수문자료를 조사·구축하고 강우자료를 이용한강우분석, 수위-유량 자료를 이용한 유황분석 등을 수행하며, 도달시간, 저류상수 등의 유역특성인자를 분석하여 유출량을 산정하는 능력이다.",건설,토목,토목설계·감리,1402010703
K000000992,토목구조설계기술자,건축·토목공학 기술자 및 시험원,철도설계,철도 시스템 인터페이스설계란 철도토목구조물과 궤도/차량/건축/전력/전차선/신호/통신 상호간에 미치는 영향을 검토하고 분석하여 설계하는 능력이다.,건설,토목,토목설계·감리,1402011005
K000001067,토목감리기술자,건축·토목공학 기술자 및 시험원,산림개발,"산림토목 감리준비란 토목감리를 시행하기 위한 준비 단계로 산림토목 감리계획서 작성, 산림토목 착공서류 검토, 산림토목설계도서 검토를 수행하는 능력이다.",농림어업,임업,산림관리,2403020114
K000001067,토목감리기술자,건축·토목공학 기술자 및 시험원,상하수도설계,"상하수도 사업계획 수립이란 상·하수도 시설을 계획할 때 요구되는 기술수준, 시설의 규모, 기준에 의거한 적정위치와 형식을 결정하는 능력이다.",건설,토목,토목설계·감리,1402010601
K000001067,토목감리기술자,건축·토목공학 기술자 및 시험원,플랜트기계설비시공,플랜트기계설비 품질관리란 공급되는 시공의 기능과 성능이 설계 목적에적합하도록  수행하는 능력이다.,건설,플랜트,플랜트시공,1404020104
K000001177,건설자재시험원,건축·토목공학 기술자 및 시험원,건설공사판넬시공,"판넬시공 계획 수립이란 공정, 자원, 품질, 현장여건 등을 파악하여 판넬공사 착수를 위한 전체적인 계획을 수립할 수 있는 능력이다.",건설,건축,건축시공,1403021502
K000001177,건설자재시험원,건축·토목공학 기술자 및 시험원,상하수도시공,"상하수도 시공검사는 시공된 상하수도 관로 및 시설의 이상 유무를 확인하고, 그에 따른 결과보고서를 작성할 수 있으며, 이상부분에 대해 적절한보수, 보강 대책을 수립할 수 있는 능력이다.",건설,토목,토목시공,1402020716
K000001177,건설자재시험원,건축·토목공학 기술자 및 시험원,철도선로시설물유지보수,기타구조물 보수란 선로구조물(토공 및 기타구조물 등)의 손상 또는 변형을 보수하는 능력이다.,운전·운송,철도운전·운송,철도시설유지보수,0902020114
K000000870,플랜트기계공학기술자,기계·로봇공학 기술자 및 시험원,해양플랜트기계설계,"해양플랜트 기계설계 피드 검증은 피드(Front End Engineering Design, FEED) 결과물이 발주처 및 제작사의 요구가 반영되었는지 검증 및 확정하기 위한 능력이다.",건설,해양자원,해양플랜트설계·설치·운용,1408030901
K000000870,플랜트기계공학기술자,기계·로봇공학 기술자 및 시험원,자동제어시스템설계,"자동화 기본계획서 작성이란 각종 산업설비와 빌딩의 신축과 증축시 산업용 컴퓨터를 사용하여 생산, 제조, 검사, 출하 등 공장전체에 대한 생산성향상, 품질관리, 에너지절감, 유통출하, 운전유지보수, 시설관리 등 운영과관리를 자동화하기 위한 자동화 시스템 제어기기에 대하여 기본계획을 수립하는 능력이다.",전기·전자,전기,전기자동제어,1901080103
K000000870,플랜트기계공학기술자,기계·로봇공학 기술자 및 시험원,해양플랜트안전설계,"해양플랜트 작업환경(WE; Working Environment) 설계 평가란 작업자가 안전하고 쾌적하게 업무 및 생활을 할 수 있도록 설계단계에서 공사 요구사항을 파악하고, 그 내용을 반영하기 위한 수행 계획 수립, 사양서 작성 및평가 결과를 설계에 반영하는 능력이다.",건설,해양자원,해양플랜트설계·설치·운용,1408030608
